source,target,weight
analysts,exxon,113
market,street,113
bank,concerns,112
growth,street,111
growth,wall,111
goldman,market,111
regulatory,street,109
regulatory,wall,109
sachs,wall,108
sachs,street,108
announces,google,108
analysts,meta,108
goldman,wall,108
goldman,street,108
analysts,walmart,107
bank,market,107
amid,johnson,106
analysts,apple,106
guidance,walmart,106
amid,goldman,105
apple,guidance,104
announces,microsoft,104
announces,apple,103
johnson,market,101
coca-cola,guidance,101
analysts,microsoft,101
google,guidance,100
analysts,coca-cola,100
analysts,nvidia,100
analysts,tesla,99
analysts,johnson,99
guidance,jpmorgan,99
exxon,guidance,99
concerns,goldman,97
analysts,google,97
johnson,street,96
johnson,wall,96
wall,walmart,96
street,walmart,96
meta,street,95
announces,sachs,95
announces,tesla,95
meta,wall,95
announces,goldman,95
goldman,guidance,94
announces,exxon,94
tesla,wall,94
announces,meta,94
street,tesla,94
guidance,sachs,94
analysts,sachs,94
analysts,goldman,94
amazon,analysts,92
microsoft,street,91
microsoft,wall,91
guidance,meta,90
announces,nvidia,90
announces,johnson,89
analysts,bank,87
america,analysts,87
coca-cola,street,87
coca-cola,wall,87
announces,bank,86
amazon,wall,86
amazon,street,86
america,announces,86
announces,coca-cola,85
concerns,johnson,80
analysts,jpmorgan,79
announces,walmart,78
jpmorgan,wall,78
announces,jpmorgan,78
jpmorgan,street,78
google,wall,77
economic,nvidia,77
google,street,77
maintains,nvidia,77
nvidia,uncertainty,77
amid,nvidia,77
america,street,75
america,wall,75
bank,street,75
bank,wall,75
amazon,amid,74
amazon,maintains,74
amazon,uncertainty,74
amazon,economic,74
amazon,announces,74
exxon,street,72
exxon,wall,72
market,tesla,70
america,amid,69
economic,microsoft,69
maintains,microsoft,69
bank,uncertainty,69
bank,economic,69
bank,maintains,69
america,economic,69
amid,microsoft,69
america,maintains,69
america,uncertainty,69
microsoft,uncertainty,69
amid,tesla,68
maintains,tesla,68
economic,tesla,68
nvidia,street,68
tesla,uncertainty,68
nvidia,wall,68
amazon,market,67
mixed,walmart,67
next,walmart,67
report,walmart,67
google,market,67
walmart,"week,",67
strategic,tesla,66
google,patent,66
priorities,tesla,66
conference,tesla,66
ceo,tesla,66
files,google,66
discusses,tesla,66
investors,trading,64
meta,next,64
meta,mixed,64
expectations,trading,64
amazon,regulatory,64
meta,report,64
market,sachs,64
market,walmart,64
apple,wall,64
meta,"week,",64
market,microsoft,64
apple,street,64
johnson,uncertainty,63
beat,walmart,63
goldman,growth,63
surges,walmart,63
johnson,maintains,63
microsoft,patent,63
economic,johnson,63
files,microsoft,63
coca-cola,files,63
growth,walmart,63
growth,sachs,63
strong,walmart,63
coca-cola,patent,63
ceo,sachs,62
sachs,strategic,62
conference,sachs,62
coca-cola,market,62
conference,goldman,62
growth,microsoft,62
coca-cola,regulatory,62
discusses,sachs,62
priorities,sachs,62
goldman,priorities,62
goldman,strategic,62
discusses,goldman,62
ceo,goldman,62
microsoft,strategic,61
microsoft,priorities,61
exxon,next,61
exxon,report,61
exxon,mixed,61
exxon,"week,",61
conference,exxon,61
ceo,exxon,61
jpmorgan,patent,61
ceo,microsoft,61
exxon,strategic,61
files,walmart,61
exxon,priorities,61
patent,walmart,61
bank,volatility,61
discusses,exxon,61
discusses,microsoft,61
conference,microsoft,61
files,jpmorgan,61
bank,mount,61
amazon,ceo,60
beat,nvidia,60
amazon,priorities,60
nvidia,regulatory,60
amazon,conference,60
amazon,strategic,60
growth,meta,60
nvidia,surges,60
nvidia,strong,60
amazon,discusses,60
apple,strategic,59
apple,discusses,59
apple,priorities,59
apple,maintains,59
apple,ceo,59
apple,mixed,59
apple,economic,59
apple,next,59
market,meta,59
concerns,trading,59
apple,report,59
apple,uncertainty,59
apple,"week,",59
bank,report,59
america,"week,",59
johnson,"week,",59
bank,next,59
bank,mixed,59
files,johnson,59
amid,apple,59
america,report,59
america,next,59
america,mixed,59
bank,"week,",59
johnson,patent,59
apple,conference,59
johnson,report,59
johnson,next,59
johnson,mixed,59
files,tesla,58
coca-cola,conference,58
coca-cola,discusses,58
coca-cola,strategic,58
coca-cola,priorities,58
patent,tesla,58
goldman,uncertainty,58
economic,walmart,58
dividend,walmart,58
ceo,coca-cola,58
economic,goldman,58
economic,sachs,58
raises,walmart,58
nvidia,scrutiny,58
meta,regulatory,58
uncertainty,walmart,58
goldman,maintains,58
confidence,walmart,58
sachs,uncertainty,58
faces,nvidia,58
amid,sachs,58
amid,walmart,58
signals,walmart,58
maintains,sachs,58
maintains,walmart,58
conference,meta,57
cuts,google,57
discusses,meta,57
"estimates,",google,57
investors,nvidia,57
ceo,meta,57
regulatory,walmart,57
exxon,regulatory,57
full-year,google,57
expectations,nvidia,57
google,misses,57
apple,files,57
google,regulatory,57
meta,strategic,57
meta,priorities,57
google,outlook,57
apple,patent,57
sector,tesla,56
america,growth,56
next,tesla,56
next,nvidia,56
bank,growth,56
nvidia,report,56
outlook,tesla,56
"estimates,",tesla,56
mixed,tesla,56
mixed,nvidia,56
misses,tesla,56
full-year,tesla,56
growth,tesla,56
cuts,tesla,56
tesla,"week,",56
tech,tesla,56
rally,tesla,56
nvidia,"week,",56
report,tesla,56
johnson,regulatory,56
exxon,growth,56
johnson,priorities,55
discusses,johnson,55
strategic,walmart,55
priorities,walmart,55
america,patent,55
johnson,strategic,55
amazon,files,55
amazon,faces,55
amazon,scrutiny,55
amazon,patent,55
discusses,walmart,55
america,files,55
bank,priorities,55
america,ceo,55
america,strategic,55
growth,jpmorgan,55
bank,ceo,55
bank,strategic,55
bank,discusses,55
apple,full-year,55
apple,misses,55
apple,"estimates,",55
bank,conference,55
apple,outlook,55
bank,files,55
bank,patent,55
america,discusses,55
ceo,walmart,55
ceo,johnson,55
apple,cuts,55
conference,walmart,55
conference,johnson,55
america,conference,55
america,priorities,55
regulatory,tesla,54
regulatory,sachs,54
exxon,files,54
jpmorgan,strategic,54
sachs,"week,",54
exxon,market,54
report,sachs,54
jpmorgan,priorities,54
microsoft,"week,",54
microsoft,report,54
microsoft,next,54
microsoft,mixed,54
next,sachs,54
mixed,sachs,54
ceo,jpmorgan,54
discusses,jpmorgan,54
conference,jpmorgan,54
exxon,patent,54
apple,market,54
apple,regulatory,54
layoffs,microsoft,54
goldman,next,54
goldman,mixed,54
goldman,regulatory,54
market,nvidia,54
goldman,"week,",54
beat,coca-cola,54
goldman,report,54
coca-cola,strong,54
employees,microsoft,54
affecting,microsoft,54
coca-cola,surges,54
amid,coca-cola,53
affecting,apple,53
google,growth,53
faces,meta,53
coca-cola,maintains,53
jpmorgan,regulatory,53
coca-cola,mixed,53
coca-cola,report,53
growth,johnson,53
concerns,meta,53
coca-cola,economic,53
coca-cola,uncertainty,53
meta,scrutiny,53
apple,employees,53
coca-cola,growth,53
apple,layoffs,53
coca-cola,"week,",53
coca-cola,next,53
dividend,jpmorgan,52
bank,dividend,52
bank,raises,52
bank,confidence,52
jpmorgan,raises,52
america,signals,52
economic,jpmorgan,52
jpmorgan,maintains,52
jpmorgan,uncertainty,52
full-year,johnson,52
america,confidence,52
america,raises,52
america,dividend,52
jpmorgan,signals,52
coca-cola,scrutiny,52
cuts,johnson,52
"estimates,",johnson,52
confidence,exxon,52
confidence,jpmorgan,52
dividend,exxon,52
exxon,signals,52
coca-cola,faces,52
exxon,raises,52
amid,jpmorgan,52
johnson,misses,52
johnson,outlook,52
bank,signals,52
"estimates,",sachs,51
economic,google,51
files,sachs,51
america,concerns,51
full-year,meta,51
"estimates,",meta,51
johnson,plunges,51
files,meta,51
disappointing,exxon,51
patent,sachs,51
disappointing,johnson,51
goldman,patent,51
meta,patent,51
full-year,sachs,51
meta,outlook,51
meta,misses,51
amid,google,51
files,goldman,51
full-year,goldman,51
misses,sachs,51
google,uncertainty,51
cuts,meta,51
cuts,goldman,51
goldman,outlook,51
cuts,sachs,51
"estimates,",goldman,51
goldman,misses,51
exxon,plunges,51
outlook,sachs,51
google,maintains,51
confidence,sachs,50
raises,sachs,50
concerns,sachs,50
confidence,goldman,50
concerns,walmart,50
beat,tesla,50
apple,growth,50
goldman,signals,50
sachs,signals,50
surges,tesla,50
dividend,goldman,50
goldman,raises,50
strong,tesla,50
apple,faces,50
apple,scrutiny,50
dividend,sachs,50
google,scrutiny,49
beat,jpmorgan,49
concerns,jpmorgan,49
disappointing,google,49
google,plunges,49
faces,google,49
exxon,scrutiny,49
jpmorgan,market,49
jpmorgan,surges,49
amazon,growth,49
jpmorgan,strong,49
exxon,faces,49
dividend,meta,48
google,sector,48
plunges,walmart,48
affecting,meta,48
disappointing,walmart,48
amazon,next,48
amazon,mixed,48
economic,exxon,48
layoffs,meta,48
amazon,report,48
economic,meta,48
google,tech,48
confidence,meta,48
google,rally,48
investors,jpmorgan,48
exxon,uncertainty,48
exxon,maintains,48
amid,exxon,48
employees,meta,48
amid,meta,48
coca-cola,disappointing,48
coca-cola,plunges,48
growth,nvidia,48
amazon,"week,",48
apple,surges,48
expectations,jpmorgan,48
meta,uncertainty,48
maintains,meta,48
meta,raises,48
apple,beat,48
meta,signals,48
apple,strong,48
disappointing,microsoft,47
jpmorgan,next,47
scrutiny,walmart,47
jpmorgan,report,47
full-year,nvidia,47
disappointing,tesla,47
goldman,mount,47
amazon,surges,47
"estimates,",nvidia,47
disappointing,jpmorgan,47
jpmorgan,mixed,47
layoffs,sachs,47
america,cuts,47
goldman,layoffs,47
amazon,beat,47
microsoft,plunges,47
affecting,sachs,47
rally,walmart,47
employees,goldman,47
misses,nvidia,47
employees,sachs,47
concerns,nvidia,47
jpmorgan,plunges,47
layoffs,tesla,47
goldman,volatility,47
jpmorgan,"week,",47
amazon,strong,47
bank,full-year,47
files,nvidia,47
tech,walmart,47
affecting,tesla,47
employees,tesla,47
amazon,investors,47
sector,walmart,47
bank,misses,47
bank,"estimates,",47
america,misses,47
america,full-year,47
bank,outlook,47
nvidia,patent,47
bank,cuts,47
america,outlook,47
amazon,expectations,47
affecting,goldman,47
faces,walmart,47
nvidia,outlook,47
plunges,tesla,47
america,"estimates,",47
cuts,nvidia,47
coca-cola,raises,46
microsoft,tech,46
employees,johnson,46
amazon,layoffs,46
affecting,nvidia,46
employees,nvidia,46
exxon,strong,46
microsoft,sector,46
microsoft,raises,46
coca-cola,confidence,46
coca-cola,signals,46
microsoft,signals,46
google,raises,46
google,layoffs,46
google,signals,46
microsoft,rally,46
coca-cola,dividend,46
exxon,surges,46
affecting,google,46
coca-cola,concerns,46
expectations,johnson,46
cuts,microsoft,46
affecting,johnson,46
investors,johnson,46
faces,jpmorgan,46
beat,exxon,46
affecting,amazon,46
dividend,microsoft,46
layoffs,nvidia,46
dividend,google,46
jpmorgan,scrutiny,46
employees,google,46
johnson,layoffs,46
america,market,46
full-year,microsoft,46
confidence,microsoft,46
microsoft,outlook,46
confidence,google,46
microsoft,misses,46
amazon,employees,46
"estimates,",microsoft,46
faces,tesla,45
confidence,johnson,45
coca-cola,employees,45
affecting,coca-cola,45
goldman,sector,45
johnson,raises,45
faces,goldman,45
faces,sachs,45
goldman,tech,45
goldman,rally,45
scrutiny,tesla,45
dividend,johnson,45
johnson,signals,45
sachs,scrutiny,45
expectations,meta,45
apple,disappointing,45
bank,plunges,45
sachs,tech,45
coca-cola,layoffs,45
goldman,scrutiny,45
america,disappointing,45
sachs,sector,45
bank,disappointing,45
rally,sachs,45
america,plunges,45
apple,plunges,45
investors,meta,45
amazon,full-year,44
amazon,raises,44
affecting,bank,44
ceo,google,44
amazon,signals,44
amazon,dividend,44
faces,johnson,44
america,employees,44
conference,google,44
america,layoffs,44
america,regulatory,44
nvidia,signals,44
cuts,exxon,44
nvidia,raises,44
amazon,misses,44
amazon,confidence,44
exxon,outlook,44
discusses,google,44
affecting,america,44
google,investors,44
amazon,"estimates,",44
"estimates,",exxon,44
exxon,misses,44
beat,meta,44
confidence,nvidia,44
exxon,full-year,44
expectations,google,44
amazon,outlook,44
bank,regulatory,44
meta,strong,44
bank,employees,44
amazon,cuts,44
amazon,sector,44
bank,layoffs,44
meta,surges,44
johnson,scrutiny,44
dividend,nvidia,44
amazon,tech,44
google,strategic,44
amazon,rally,44
google,priorities,44
affecting,walmart,43
coca-cola,expectations,43
beat,google,43
coca-cola,investors,43
dividend,tesla,43
johnson,mount,43
layoffs,walmart,43
concerns,exxon,43
nvidia,priorities,43
nvidia,strategic,43
signals,tesla,43
microsoft,regulatory,43
ceo,nvidia,43
conference,nvidia,43
johnson,volatility,43
google,strong,43
google,surges,43
google,"week,",43
google,report,43
google,next,43
google,mixed,43
discusses,nvidia,43
johnson,tech,43
johnson,rally,43
johnson,sector,43
raises,tesla,43
confidence,tesla,43
employees,walmart,43
nvidia,rally,42
nvidia,tech,42
disappointing,meta,42
amazon,disappointing,42
nvidia,sector,42
full-year,jpmorgan,42
amazon,plunges,42
coca-cola,tech,42
coca-cola,rally,42
jpmorgan,outlook,42
jpmorgan,misses,42
coca-cola,sector,42
affecting,exxon,42
meta,plunges,42
exxon,layoffs,42
cuts,jpmorgan,42
apple,concerns,42
employees,exxon,42
"estimates,",jpmorgan,42
concerns,google,41
expectations,walmart,41
apple,investors,41
microsoft,surges,41
beat,microsoft,41
jpmorgan,layoffs,41
affecting,jpmorgan,41
apple,expectations,41
investors,walmart,41
employees,jpmorgan,41
microsoft,strong,41
apple,signals,40
apple,confidence,40
goldman,surges,40
apple,dividend,40
expectations,goldman,40
expectations,sachs,40
apple,raises,40
meta,tech,40
meta,rally,40
beat,goldman,40
goldman,strong,40
sachs,strong,40
beat,sachs,40
investors,sachs,40
sachs,surges,40
goldman,investors,40
full-year,walmart,40
meta,sector,40
misses,walmart,40
"estimates,",walmart,40
outlook,walmart,40
cuts,walmart,40
johnson,surges,39
johnson,strong,39
beat,johnson,39
america,expectations,38
concerns,microsoft,38
apple,tech,38
expectations,exxon,38
bank,investors,38
bank,expectations,38
exxon,investors,38
investors,tesla,38
nvidia,plunges,38
america,investors,38
disappointing,nvidia,38
expectations,tesla,38
apple,sector,38
apple,rally,38
america,rally,36
america,tech,36
bank,beat,36
america,sector,36
disappointing,sachs,36
disappointing,goldman,36
plunges,sachs,36
america,beat,36
america,scrutiny,36
america,faces,36
bank,strong,36
america,strong,36
america,surges,36
concerns,tesla,36
expectations,microsoft,36
bank,tech,36
bank,surges,36
exxon,sector,36
investors,microsoft,36
goldman,plunges,36
bank,rally,36
exxon,rally,36
exxon,tech,36
bank,sector,36
bank,faces,36
bank,scrutiny,36
microsoft,scrutiny,35
faces,microsoft,35
amazon,concerns,33
coca-cola,cuts,32
coca-cola,full-year,32
coca-cola,outlook,32
coca-cola,"estimates,",32
coca-cola,misses,32
jpmorgan,tech,30
jpmorgan,sector,30
jpmorgan,rally,30
nvidia,trading,13
goldman,trading,13
sachs,trading,13
jpmorgan,trading,11
meta,trading,10
tesla,trading,10
coca-cola,trading,10
johnson,trading,9
exxon,trading,9
apple,trading,8
amazon,trading,7
trading,walmart,7
microsoft,trading,6
america,trading,5
google,trading,5
bank,trading,5
