word,vector
sachs,"[-0.19300401210784912, 0.2048281580209732, 0.832413375377655, -0.4070259928703308, -1.4611330032348633, -0.15130452811717987, -0.3917645812034607, -0.11372119933366776, -0.01326317060738802, -0.7534757852554321, 0.7377492785453796, 0.5919281840324402, -0.565440833568573, -0.1396092176437378, -0.6164077520370483, -0.7384409308433533, -0.4638514518737793, -0.2164706140756607, -0.042254552245140076, 1.5694891214370728, -0.09202281385660172, 0.6850610375404358, -0.24554340541362762, -0.8503934144973755, -0.6881126761436462, 0.46650490164756775, 1.3962767124176025, 1.0431241989135742, -0.962449312210083, 0.3044513165950775, -0.10418889671564102, 0.28079962730407715, 0.30686554312705994, -1.7832765579223633, 1.8120840787887573, -0.7350320816040039, -0.7043121457099915, -1.3720108270645142, 0.3901175558567047, -0.8211715221405029, -1.318437099456787, -0.1168806329369545, -0.7746085524559021, -1.1759790182113647, 0.9058454632759094, 0.10238854587078094, 0.8406462073326111, 0.5736628174781799, 0.9906086921691895, -0.9159388542175293, 1.4880950450897217, 1.1990083456039429, -1.203214168548584, -1.0525496006011963, 0.5356287360191345, 1.4271953105926514, -0.33223822712898254, 0.12872126698493958, 0.30608800053596497, -0.8055173754692078, -0.26971033215522766, 0.3513695001602173, 0.03464309126138687, -0.4965416491031647, -0.3426506221294403, 0.40303370356559753, -0.6757908463478088, -1.203560709953308, -0.4986039400100708, -0.15596045553684235, 0.4456755518913269, 0.11144893616437912, 0.010648087598383427, -0.4706302881240845, 0.6583559513092041, 0.985491156578064, -1.089903712272644, -0.5381245017051697, 0.6802951097488403, 0.5888984799385071, -0.8693718314170837, 0.9716479778289795, -0.6178712248802185, 1.2282289266586304, 0.03391391038894653, -0.3435063362121582, 0.2617877125740051, 0.31232112646102905, 1.6617878675460815, 0.17316286265850067, 0.46302324533462524, -0.4270716905593872, 1.732336401939392, -1.3613587617874146, 0.10334201157093048, -0.32976728677749634, -0.32532256841659546, -0.6001240015029907, -1.0127692222595215, -1.531407117843628]"
trading,"[0.3032488226890564, 0.31379637122154236, -0.1480630338191986, -0.1317170411348343, -0.21681037545204163, 0.29405051469802856, 0.4880702495574951, 0.35018959641456604, 0.15832309424877167, 0.3885677754878998, -0.08056771010160446, -0.6904671788215637, -0.3142912983894348, -0.28302934765815735, -0.045670635998249054, 0.22771993279457092, -0.3252631425857544, 0.24761465191841125, 0.18437017500400543, -0.6821986436843872, -0.26857250928878784, -0.0542679987847805, -0.9211816191673279, 0.1805531531572342, -1.0650423765182495, 0.28639721870422363, 0.32964029908180237, -0.16617785394191742, -0.022849896922707558, 0.3627324104309082, -0.21603035926818848, 0.11908494681119919, 0.33001619577407837, -0.0842585414648056, -0.6555024981498718, 0.42227911949157715, 0.49096399545669556, 0.3029838800430298, -0.08895230293273926, 0.031954314559698105, -0.19840668141841888, -0.28077319264411926, 0.26384437084198, -0.142830029129982, 0.85088711977005, -0.5978788137435913, 0.232722207903862, 0.1384299248456955, 0.14670929312705994, 0.06316762417554855, 0.4478917121887207, -0.3806251883506775, 0.062140919268131256, -0.474112868309021, -0.06703094393014908, -0.3898402750492096, 0.26380741596221924, -0.2590472102165222, 0.08835697919130325, -0.6377303600311279, -0.5439298748970032, -0.03688661754131317, -0.4553147256374359, -0.3104994297027588, 0.33309927582740784, -0.22460612654685974, 0.3309418261051178, 0.9128894209861755, -0.5366266369819641, 0.09134239703416824, 0.37032550573349, 0.24070248007774353, 0.08801476657390594, 0.3033194839954376, 0.3741450607776642, -0.1025734543800354, 0.07191259413957596, -0.05358842760324478, 0.1019689217209816, -0.30609339475631714, -0.31775984168052673, -0.5407437086105347, -0.2870846688747406, 0.45032811164855957, 0.3594442903995514, -0.672458827495575, -0.1613205522298813, 0.29606592655181885, -0.10574688017368317, 0.3213840425014496, 0.07172074913978577, 0.25934961438179016, -0.18740905821323395, 0.4010354280471802, 1.2077072858810425, -0.0210869200527668, 0.24589303135871887, 0.22874332964420319, -0.15830305218696594, 0.10938721150159836]"
cocacola,"[-0.4237564504146576, 0.5081968307495117, 0.07385598868131638, -0.20755881071090698, -0.9870608448982239, 0.3147870898246765, 0.16875162720680237, 0.32076847553253174, 0.2600342631340027, -0.3557380437850952, -0.0658746063709259, 0.3659614622592926, 0.251250684261322, -0.18404889106750488, -0.786527693271637, -0.4838384687900543, 0.7300378680229187, 0.09145348519086838, -0.8572038412094116, 0.30185461044311523, -0.21592046320438385, 0.22941042482852936, 0.2433018833398819, 0.5682522058486938, 0.4049798250198364, -0.1769951581954956, 0.4799562990665436, 0.3344138562679291, -0.8493214845657349, 0.16778448224067688, -0.34685102105140686, 0.029259100556373596, 0.6263290643692017, -1.2499446868896484, 0.7442065477371216, -0.36222806572914124, 0.23510608077049255, -0.7878847718238831, 1.5750415325164795, 0.025917673483490944, -0.44490212202072144, 0.15538237988948822, 0.0702824741601944, -1.1828969717025757, 0.33263105154037476, 0.08551910519599915, 0.4958045184612274, 0.9276951551437378, 0.1269276738166809, 0.018961701542139053, 0.9512810111045837, 0.5596330165863037, -0.7221454977989197, -0.08982783555984497, -0.47567659616470337, 0.6304711103439331, -0.1174338310956955, 0.09906754642724991, 0.5860891938209534, 0.5162841081619263, 0.4968566596508026, -0.6175320148468018, 0.5521570444107056, 0.2502973675727844, -0.43675005435943604, 0.26974767446517944, -0.2706177532672882, -0.41754135489463806, -0.13552366197109222, -0.250316321849823, 0.7200419306755066, 0.6278647184371948, -0.302825927734375, -0.5588353872299194, 0.598362922668457, 0.060402702540159225, -0.7566553950309753, 0.1503436118364334, 0.6513085961341858, 0.4614240825176239, -0.3569422960281372, 1.5109474658966064, -0.08057824522256851, 0.0592002347111702, -0.16770753264427185, 0.5117542743682861, 0.0035385973751544952, 0.26395362615585327, 0.9577347040176392, -0.5739004611968994, 0.01667584292590618, -1.1290282011032104, 0.1909855306148529, -1.967961311340332, 0.5628148317337036, -0.12430911511182785, -0.29980412125587463, -1.4985988140106201, -0.2391788512468338, -0.7071295380592346]"
microsoft,"[-0.6088024377822876, 0.5585309267044067, -0.05767900496721268, -0.15935443341732025, -1.0367186069488525, 0.2931036651134491, 0.07232309877872467, 0.3070199489593506, 0.2809171676635742, -0.3082967698574066, -0.08466299623250961, 0.3852664530277252, 0.35330286622047424, -0.19363079965114594, -0.8268677592277527, -0.42205947637557983, 0.7836734652519226, 0.010617819614708424, -0.9903869032859802, 0.4282003343105316, -0.465538889169693, 0.1397222876548767, 0.2143971174955368, 0.5362035632133484, 0.37955179810523987, -0.17688871920108795, 0.36267760396003723, 0.1762876808643341, -0.7846947312355042, 0.22829733788967133, -0.3201284110546112, -0.09819867461919785, 0.5596429705619812, -1.2536507844924927, 0.7106661200523376, -0.3372580111026764, 0.3262932300567627, -0.8106914758682251, 1.6317613124847412, -0.170880526304245, -0.5659535527229309, 0.0703684389591217, 0.08860521018505096, -1.1389797925949097, 0.23975197970867157, 0.21108542382717133, 0.5435161590576172, 0.9785476326942444, 0.08383426070213318, -0.03595566377043724, 0.9776174426078796, 0.603150486946106, -0.5977773666381836, -0.08086665719747543, -0.33555281162261963, 0.7061610221862793, 0.00947448518127203, 0.2120656669139862, 0.5278775691986084, 0.46360111236572266, 0.473388671875, -0.6236699223518372, 0.5210720896720886, 0.3409068286418915, -0.41000649333000183, 0.27327632904052734, -0.2953430414199829, -0.5386902689933777, -0.1436413675546646, -0.25665003061294556, 0.7788292765617371, 0.5870782136917114, -0.30371931195259094, -0.5499306917190552, 0.6085081100463867, 0.02153129130601883, -0.8497960567474365, 0.1641218513250351, 0.6227536201477051, 0.35686194896698, -0.3828854262828827, 1.4899482727050781, -0.017761314287781715, 0.02726154401898384, -0.22728164494037628, 0.4777083098888397, -0.1015143096446991, 0.21112877130508423, 0.931817352771759, -0.4505705237388611, -0.0063705286011099815, -1.176027774810791, 0.2455037534236908, -1.8508780002593994, 0.6458724737167358, -0.15596267580986023, -0.34122753143310547, -1.6821019649505615, -0.34446239471435547, -0.761893093585968]"
apple,"[-0.45836564898490906, 0.5275722742080688, 0.021700164303183556, -0.18372583389282227, -0.9589568376541138, 0.2867361605167389, 0.09153403341770172, 0.2703389823436737, 0.2665925621986389, -0.276003360748291, -0.17353291809558868, 0.3879217207431793, 0.32144832611083984, -0.1774299293756485, -0.7758461236953735, -0.47000542283058167, 0.7700739502906799, 0.06331729888916016, -0.9065292477607727, 0.3894958198070526, -0.25383973121643066, 0.19996537268161774, 0.3284342885017395, 0.600179135799408, 0.3843699097633362, -0.08149151504039764, 0.3745864927768707, 0.20094172656536102, -0.7417497038841248, 0.21862554550170898, -0.4157074987888336, -0.05627416446805, 0.6229648590087891, -1.2373499870300293, 0.7431867122650146, -0.4075014591217041, 0.1939965933561325, -0.8441154360771179, 1.548768162727356, -0.1135052964091301, -0.48028305172920227, 0.12010689079761505, 0.09368075430393219, -1.2194633483886719, 0.23997041583061218, 0.27352526783943176, 0.4042622447013855, 0.9889015555381775, 0.08797422051429749, -0.09196724742650986, 0.9299768209457397, 0.4905325770378113, -0.6842871904373169, -0.030085820704698563, -0.3780527710914612, 0.5771105289459229, -0.13390085101127625, 0.1483919769525528, 0.5569656491279602, 0.4029936194419861, 0.3821265399456024, -0.6398475170135498, 0.571749210357666, 0.23374924063682556, -0.3793054521083832, 0.2916002571582794, -0.3043258488178253, -0.4942963719367981, -0.19113601744174957, -0.1816180795431137, 0.7755979299545288, 0.5931024551391602, -0.31713196635246277, -0.5548347234725952, 0.5542492270469666, 0.10319173336029053, -0.8117856979370117, 0.21994449198246002, 0.6182406544685364, 0.4085293114185333, -0.35662487149238586, 1.4628286361694336, -0.0428653247654438, 0.01316886954009533, -0.19752438366413116, 0.518129825592041, 0.01996069960296154, 0.22153756022453308, 0.9464589953422546, -0.5188201665878296, 0.10165147483348846, -1.0830756425857544, 0.21886196732521057, -1.9376269578933716, 0.5707048177719116, -0.12879715859889984, -0.36104831099510193, -1.5537898540496826, -0.2459982931613922, -0.6786537766456604]"
amazon,"[-0.5571063756942749, 0.5156123042106628, -0.06794800609350204, -0.17964859306812286, -0.965374767780304, 0.33057981729507446, 0.048050712794065475, 0.3064953684806824, 0.16690973937511444, -0.2184642255306244, -0.031057624146342278, 0.38389626145362854, 0.44266533851623535, -0.20018382370471954, -0.7702170610427856, -0.35757872462272644, 0.6903200745582581, 0.11582204699516296, -0.9145536422729492, 0.3729098439216614, -0.47485166788101196, 0.3252044916152954, 0.3352121114730835, 0.5172722339630127, 0.39981135725975037, -0.13915754854679108, 0.3469717502593994, 0.15090826153755188, -0.8727255463600159, 0.20544511079788208, -0.26352909207344055, -0.042467150837183, 0.49548307061195374, -1.224872350692749, 0.6855316162109375, -0.33835843205451965, 0.16001513600349426, -0.7989954352378845, 1.5706188678741455, -0.10583658516407013, -0.5230112671852112, 0.10231930762529373, 0.1689780205488205, -1.2789547443389893, 0.16844455897808075, 0.17420706152915955, 0.46239811182022095, 0.9804273247718811, 0.052528560161590576, -0.02933034859597683, 1.0285687446594238, 0.6188035011291504, -0.6052182912826538, -0.04722215235233307, -0.47869277000427246, 0.5240164995193481, -0.05151716247200966, 0.14645594358444214, 0.6888858675956726, 0.4854608178138733, 0.43342578411102295, -0.6507902145385742, 0.6010321974754333, 0.3598940372467041, -0.3357016444206238, 0.20275209844112396, -0.3415443003177643, -0.551186740398407, -0.2664892375469208, -0.22902575135231018, 0.7063001990318298, 0.44146719574928284, -0.27029818296432495, -0.5263441801071167, 0.537013053894043, 0.10272114723920822, -0.7974295616149902, 0.19286611676216125, 0.6752608418464661, 0.3791801333427429, -0.36183974146842957, 1.4799623489379883, -0.10939677059650421, -0.02302096039056778, -0.19611722230911255, 0.41923126578330994, -0.10659833252429962, 0.15649546682834625, 0.906796932220459, -0.3557829260826111, 0.02155468985438347, -1.1337890625, 0.18888913094997406, -1.8350485563278198, 0.6489713788032532, -0.14965136349201202, -0.3441925644874573, -1.728029727935791, -0.2473410815000534, -0.854485273361206]"
decision,"[-0.12452355027198792, 0.02786821685731411, -1.11533784866333, -0.9517035484313965, 0.9218568801879883, -0.538066565990448, 0.2707144618034363, 1.0782229900360107, 0.2774668037891388, 0.22082754969596863, 0.7429234981536865, -0.7439461946487427, 0.7880311608314514, 0.5222237706184387, 0.1769467294216156, -0.5421932935714722, 0.2849651575088501, 0.4523114860057831, -0.4150761663913727, -1.228024959564209, -0.48794883489608765, -0.8451279997825623, -0.2723551094532013, -1.058480978012085, 0.3453056812286377, -1.2299586534500122, 1.0370053052902222, -0.2337380051612854, -0.20198297500610352, -1.3208268880844116, 0.6294100880622864, 0.5791119933128357, 0.3477902412414551, -0.19929897785186768, 0.050503578037023544, 0.5798620581626892, -0.2320132553577423, -0.2858831286430359, -0.6966793537139893, -0.6233564019203186, 0.3197433650493622, 0.062373481690883636, -0.38593482971191406, -0.04792202264070511, 0.22987668216228485, -0.35202455520629883, -0.047478508204221725, 0.27215632796287537, -0.35151591897010803, -0.07024946808815002, 1.015260934829712, 0.2727220058441162, 0.12488430738449097, 0.8368827700614929, -1.019787311553955, -0.48154905438423157, 0.47023868560791016, -0.8791279792785645, -0.2901137173175812, 0.8623311519622803, 0.18943096697330475, -0.21902276575565338, 0.7955907583236694, -0.01707436889410019, -0.695841908454895, -0.06679663807153702, -0.2176266312599182, 0.42921558022499084, -1.0601561069488525, 0.777691125869751, 0.48850688338279724, -0.0033851454500108957, 0.3687395453453064, 0.6999441385269165, 0.8203824758529663, -0.7567774057388306, 1.0045907497406006, -0.7334771156311035, -0.9618501663208008, -1.0856329202651978, -0.7311134338378906, 1.185593605041504, -0.4701140820980072, 0.007168931420892477, -0.6025793552398682, 0.32314255833625793, -0.10749781876802444, -0.20616662502288818, -0.48454898595809937, 0.12618565559387207, 0.6102091670036316, 0.2668638229370117, -0.2915434241294861, 0.08137079328298569, 0.47734948992729187, 0.3352854549884796, -0.01323889009654522, -0.4642275273799896, 0.3574317991733551, -0.5213149189949036]"
await,"[0.3767799437046051, -0.9523568749427795, -1.2213233709335327, -0.8258752226829529, 1.2548280954360962, -0.6256081461906433, 0.8492621183395386, 1.0697195529937744, 0.6533914804458618, 0.5077612400054932, 1.0044339895248413, -0.5321276783943176, -0.19126884639263153, -0.4021840989589691, -0.3432184159755707, -0.10268770158290863, 0.1547280251979828, 0.10534247010946274, -0.19884848594665527, -0.5173483490943909, -0.5511242747306824, -0.5948403477668762, -0.07754175364971161, -1.1731246709823608, -0.06700340658426285, -0.9383817315101624, 1.3309062719345093, -0.4718402326107025, -0.10577769577503204, -1.0724455118179321, 1.3270279169082642, -0.1520521193742752, 0.6978301405906677, 0.19192059338092804, 0.3890022039413452, 0.48508235812187195, -0.020997362211346626, -0.9261851906776428, -0.7152097821235657, -0.3504215478897095, 0.5675760507583618, -0.11162909120321274, -0.029746903106570244, -0.021764229983091354, 0.7768770456314087, -0.18923501670360565, -0.5650256276130676, 0.577788770198822, -0.315683513879776, 0.18743681907653809, 0.5016238689422607, 0.2078695446252823, 0.3139819800853729, 0.9851385951042175, -1.16359543800354, 0.3977416753768921, 0.5778802037239075, -0.5316975116729736, -0.026112092658877373, 0.8065019845962524, -0.04487612470984459, -0.13049069046974182, 0.9397981762886047, 0.2602560520172119, -0.3852485120296478, 0.7810106873512268, -0.41856148838996887, 0.7067725658416748, -1.308480978012085, 0.6543079614639282, -0.18491290509700775, 0.2664189040660858, 0.3582685589790344, 0.17388395965099335, 0.8075457811355591, -1.3012467622756958, 0.9307953119277954, -0.838401198387146, -1.0545583963394165, -1.0500764846801758, -1.2480913400650024, 1.067807912826538, -0.666868269443512, 0.44099539518356323, -0.8034602999687195, 0.0482851006090641, 0.3448779582977295, -0.6342786550521851, -0.6273032426834106, -0.5204757452011108, -0.12085831165313721, 0.2405790090560913, -0.17370757460594177, 0.45298585295677185, 0.8344261050224304, -0.2080356329679489, -0.10493895411491394, -0.48802450299263, -0.1752987951040268, -0.37860679626464844]"
flat,"[-0.2800401747226715, -0.5409361720085144, -1.063781499862671, -0.885103166103363, 0.8332223892211914, -0.6880766153335571, 0.09752461314201355, 1.4141063690185547, 0.3576645255088806, -0.05470086261630058, 0.8488143682479858, -1.0692976713180542, 0.5979509949684143, 0.39470016956329346, 0.3700943887233734, -0.0441129170358181, 0.04685575142502785, 0.30678215622901917, -0.06943896412849426, -1.2304410934448242, -0.6865689754486084, -0.9262199401855469, -0.2768245041370392, -0.8069667816162109, -0.24666820466518402, -1.0962656736373901, 0.946179986000061, -0.23876771330833435, 0.13034474849700928, -1.1702632904052734, 0.4566994607448578, 0.6282306909561157, 0.9279463887214661, -0.2291950285434723, -0.030951006338000298, 0.43664228916168213, 0.023771751672029495, -0.4486923813819885, -0.9688619375228882, -0.3461695611476898, 0.4482109546661377, 0.38401201367378235, -0.8654307723045349, 0.006113522686064243, 0.6111097931861877, -0.3959159553050995, 0.1740109920501709, 0.6111499667167664, -0.34958720207214355, -0.25999385118484497, 1.0330477952957153, -0.15418027341365814, 0.06268629431724548, 1.005235195159912, -0.5659546852111816, -0.14682050049304962, 0.4139610826969147, -0.9803799986839294, 0.29036736488342285, 1.0744545459747314, -0.4135991930961609, -0.08994308114051819, 0.7763756513595581, 0.2676815390586853, -0.8125516176223755, 0.06873327493667603, -0.17970162630081177, 0.47186359763145447, -0.6907680034637451, 0.4064159691333771, 0.861641526222229, -0.3825386166572571, 0.5375991463661194, 0.5955296754837036, 0.6392192244529724, -1.0948377847671509, 1.0179017782211304, -1.0569381713867188, -1.030210018157959, -0.8561307787895203, -0.9943955540657043, 1.4096825122833252, -0.04657626524567604, 0.08370408415794373, -0.5264987349510193, 0.5527436137199402, 0.08154984563589096, -0.03052448481321335, -0.2617717385292053, 0.223078191280365, 0.6347827911376953, 0.4859379827976227, -0.4256361126899719, 0.4087212085723877, 1.1465824842453003, 0.43631500005722046, -0.10635159909725189, -0.5790183544158936, 0.1103980615735054, -0.17819131910800934]"
exxon,"[-0.6005330681800842, 0.4982141852378845, -0.031722549349069595, -0.20768164098262787, -1.0440059900283813, 0.23498287796974182, 0.09390410035848618, 0.33707305788993835, 0.307646244764328, -0.31239283084869385, -0.17044104635715485, 0.40839770436286926, 0.3262351155281067, -0.11721118539571762, -0.7081491947174072, -0.3591454327106476, 0.6961976289749146, 0.10354695469141006, -0.9175957441329956, 0.4757736027240753, -0.35675597190856934, 0.2245081514120102, 0.24517087638378143, 0.6214971542358398, 0.3562098443508148, -0.061839014291763306, 0.38181963562965393, 0.16006512939929962, -0.9197107553482056, 0.2714444100856781, -0.34616583585739136, -0.08881053328514099, 0.5325616002082825, -1.254884958267212, 0.6733248233795166, -0.2745554447174072, 0.2911008596420288, -0.8183237910270691, 1.5551586151123047, -0.13123364746570587, -0.46331948041915894, 0.12847724556922913, 0.16123321652412415, -1.314186453819275, 0.1859503537416458, 0.2682657837867737, 0.43155550956726074, 0.9234472513198853, 0.11966226249933243, -0.045767780393362045, 0.9562676548957825, 0.6251945495605469, -0.7142500877380371, -0.12423782050609589, -0.4393858313560486, 0.6750040054321289, -0.11663638055324554, 0.10154588520526886, 0.411600261926651, 0.4405156075954437, 0.3538227081298828, -0.5716320276260376, 0.5114566683769226, 0.29591184854507446, -0.41272497177124023, 0.3381807208061218, -0.2063145637512207, -0.4590185880661011, -0.12774774432182312, -0.09377023577690125, 0.8708100914955139, 0.5119566321372986, -0.3405765891075134, -0.45925194025039673, 0.5715727210044861, 0.14483661949634552, -0.8277663588523865, 0.2616204619407654, 0.5961336493492126, 0.47367438673973083, -0.33387091755867004, 1.458974003791809, -0.04130396991968155, -0.011649301275610924, -0.2589166462421417, 0.46886923909187317, -0.011331289075314999, 0.19600199162960052, 0.9006472229957581, -0.5170499682426453, -0.024072173982858658, -1.0656869411468506, 0.1929909586906433, -2.0102221965789795, 0.4883508086204529, -0.1925486922264099, -0.23034638166427612, -1.67107093334198, -0.3577905297279358, -0.7387014031410217]"
jpmorgan,"[-0.4807800352573395, 0.6022394299507141, -0.0456225611269474, -0.004014080855995417, -1.0993622541427612, 0.29160818457603455, 0.07764876633882523, 0.32068032026290894, 0.28130924701690674, -0.15610834956169128, -0.09206660836935043, 0.47827035188674927, 0.4015512764453888, -0.1015491709113121, -0.7787896394729614, -0.38916465640068054, 0.7276201844215393, 0.08264026790857315, -0.936720073223114, 0.39595210552215576, -0.47227150201797485, 0.2791449725627899, 0.26901352405548096, 0.6106891632080078, 0.42593446373939514, -0.056155215948820114, 0.4293641448020935, 0.240032359957695, -0.8798266053199768, 0.2677602767944336, -0.29637011885643005, -0.026489270851016045, 0.5877266526222229, -1.203940510749817, 0.8366990685462952, -0.3226676881313324, 0.2962435483932495, -0.8113099336624146, 1.519095778465271, -0.0950031578540802, -0.5379472970962524, 0.018536968156695366, 0.034139398485422134, -1.2897270917892456, 0.20870570838451385, 0.09686996787786484, 0.3933245837688446, 0.9599260091781616, 0.051809247583150864, -0.06257002055644989, 0.9758743643760681, 0.6387305855751038, -0.6736434102058411, -0.12774567306041718, -0.3719004690647125, 0.6344408988952637, -0.07775216549634933, 0.15523046255111694, 0.5740543603897095, 0.5022324919700623, 0.3661411702632904, -0.6545962691307068, 0.5386152267456055, 0.2609635889530182, -0.38634422421455383, 0.16207532584667206, -0.27607640624046326, -0.4239366054534912, -0.2203790694475174, -0.16894446313381195, 0.8144287467002869, 0.4511061906814575, -0.3376711905002594, -0.6354838609695435, 0.6298131346702576, 0.18743585050106049, -0.8044402003288269, 0.1455761343240738, 0.6751765608787537, 0.4270703196525574, -0.362642765045166, 1.4038236141204834, -0.07163961976766586, 0.08481279015541077, -0.30898135900497437, 0.6092173457145691, -0.07978455722332001, 0.22854536771774292, 0.9758392572402954, -0.4833824336528778, 0.046603020280599594, -1.1450129747390747, 0.1407899558544159, -1.9304383993148804, 0.5646342635154724, -0.18321016430854797, -0.3585399091243744, -1.6155025959014893, -0.3357722759246826, -0.7739783525466919]"
uncertainty,"[-0.4612390398979187, 0.4694911241531372, -0.7302411198616028, 1.162967562675476, 0.1614159196615219, -0.42074868083000183, -0.30910375714302063, 0.22200952470302582, -1.3931299448013306, 0.37891772389411926, -0.19217796623706818, -0.701676607131958, 0.408304899930954, 0.03910031169652939, 0.4701159596443176, 0.3433077335357666, -0.2632126212120056, -1.378542423248291, 0.594840407371521, -1.0783519744873047, 0.21902522444725037, 0.20377220213413239, 1.0054357051849365, -1.6812984943389893, 0.08326884359121323, -0.887093722820282, -1.2709083557128906, -0.6910086274147034, -0.13330884277820587, -1.2680773735046387, 1.193639874458313, -0.26091092824935913, 0.023620275780558586, 0.7774226069450378, -0.87276691198349, 0.6431118249893188, -0.300076425075531, 0.014896231703460217, -0.47246524691581726, -0.9515471458435059, 0.2468981146812439, 0.41646140813827515, -0.6268630027770996, 1.0596587657928467, -0.43135684728622437, 0.8386034965515137, 0.10509394854307175, -0.5713303685188293, -0.15790407359600067, 0.563568651676178, 0.49044349789619446, -0.4907959997653961, 1.0637410879135132, 0.5365713834762573, 0.9788171648979187, -0.444547176361084, -0.1526731252670288, 1.088136911392212, -1.6255385875701904, -0.25706690549850464, -0.46703702211380005, 0.5368183255195618, 0.397332102060318, -0.2547139525413513, 0.30313342809677124, 0.27937471866607666, -1.0488942861557007, -0.45592138171195984, -0.28382599353790283, 0.11696624755859375, -0.2319389283657074, 0.8424155116081238, 0.6849396228790283, 0.3726036846637726, -0.268209844827652, -0.8699222803115845, -0.2563420534133911, -0.926709771156311, -0.2271505743265152, 0.10724442452192307, -0.5239971876144409, -0.6748327016830444, -0.8688644170761108, -0.5435308814048767, -0.2200935035943985, -0.32486701011657715, 0.3912893533706665, 0.3262414336204529, 0.7684531807899475, 0.9997701048851013, -0.2526901662349701, 1.3567951917648315, -0.382637083530426, 1.4279329776763916, 0.7750376462936401, 1.0905100107192993, -0.5142678022384644, 1.0535755157470703, 1.051883339881897, -1.09364914894104]"
maintains,"[-0.12686587870121002, 0.6065386533737183, -0.6321746706962585, 0.44442686438560486, 0.20489098131656647, -0.26030048727989197, -0.06828007847070694, 0.12631061673164368, -1.285007119178772, 0.4787697494029999, -0.10337934643030167, -0.6541153788566589, 0.13082867860794067, -0.5572991967201233, 0.3276747763156891, 0.5040891766548157, -0.29528239369392395, -0.9255682826042175, 0.6643195152282715, -1.129838466644287, 0.3928326666355133, 0.5904568433761597, 0.6898511052131653, -1.758849024772644, -0.003014380345121026, -0.6442427635192871, -0.9112448692321777, -0.6592559218406677, 0.10939572006464005, -1.3267828226089478, 0.325308620929718, 0.04822966456413269, 0.2489403337240219, 0.7449478507041931, -1.212014079093933, 1.1536507606506348, -0.37548038363456726, -0.02201932854950428, -0.6785918474197388, -1.0764826536178589, 0.2778017520904541, 0.28788962960243225, 0.11203949898481369, 1.1790266036987305, -0.36334776878356934, 0.4374943673610687, -0.06515631824731827, -1.0811558961868286, -0.8815488219261169, 0.3087613582611084, -0.06201813742518425, 0.05612094700336456, 0.7205066084861755, 0.06788758933544159, 1.1133941411972046, -0.7595940828323364, 0.4076458513736725, 1.4059834480285645, -1.728107213973999, -0.3236449658870697, -0.07074109464883804, 0.31523191928863525, 0.34686583280563354, -0.4058413803577423, 0.5683854222297668, 0.8724098205566406, -0.8714190125465393, -0.3003082573413849, 0.013594990596175194, 0.1170172169804573, -0.9314234852790833, 0.5438060760498047, 0.44364291429519653, 0.6443881392478943, 0.13742195069789886, -1.0516504049301147, -0.40278348326683044, -1.2729884386062622, -0.25992560386657715, 0.08140572160482407, -0.6092705130577087, -0.9405427575111389, -0.9887458682060242, -0.5932134389877319, 0.1427335888147354, -0.3660892844200134, 0.6713771820068359, 0.5889273285865784, 0.6092209219932556, 0.7720702886581421, -0.23858223855495453, 1.5489691495895386, -0.14543843269348145, 1.3262557983398438, 1.0059868097305298, 1.1988632678985596, -0.3027515709400177, 0.645318865776062, 0.9452888369560242, -1.2877147197723389]"
