ngram,total_count,negative,neutral,positive,n
files new patent,801,,801.0,,3
ceo discusses strategic,790,,790.0,,3
discusses strategic priorities,790,,790.0,,3
strategic priorities conference,790,,790.0,,3
report earnings next,780,,780.0,,3
earnings next week,780,,780.0,,3
week analysts mixed,780,,780.0,,3
next week analysts,780,,780.0,,3
ahead holiday weekend,777,,777.0,,3
trading volume light,777,,777.0,,3
light ahead holiday,777,,777.0,,3
volume light ahead,777,,777.0,,3
signals confidence growth,666,,,666.0,3
raises dividend signals,666,,,666.0,3
dividend signals confidence,666,,,666.0,3
estimates cuts fullyear,664,664.0,,,3
cuts fullyear outlook,664,664.0,,,3
earnings estimates cuts,664,664.0,,,3
faces regulatory scrutiny,664,664.0,,,3
misses earnings estimates,664,664.0,,,3
surges strong earnings,660,,,660.0,3
stock surges strong,660,,,660.0,3
strong earnings beat,660,,,660.0,3
amid market volatility,648,648.0,,,3
announces layoffs affecting,648,648.0,,,3
layoffs affecting employees,648,648.0,,,3
stock plunges disappointing,636,636.0,,,3
plunges disappointing guidance,636,636.0,,,3
gdp growth exceeds,635,,,635.0,3
expectations economy shows,635,,,635.0,3
growth exceeds expectations,635,,,635.0,3
exceeds expectations economy,635,,,635.0,3
economy shows resilience,635,,,635.0,3
cuts markets rally,626,,,626.0,3
fed signals potential,626,,,626.0,3
rate cuts markets,626,,,626.0,3
potential rate cuts,626,,,626.0,3
signals potential rate,626,,,626.0,3
raising inflation concerns,625,625.0,,,3
prices surge raising,625,625.0,,,3
quarterly revenue b,625,,,625.0,3
surge raising inflation,625,625.0,,,3
record quarterly revenue,625,,,625.0,3
announces record quarterly,625,,,625.0,3
oil prices surge,625,625.0,,,3
deal worth b,617,,,617.0,3
landmark deal worth,617,,,617.0,3
due safety concerns,616,616.0,,,3
rises sparking economic,615,615.0,,,3
sparking economic concerns,615,615.0,,,3
unemployment rises sparking,615,615.0,,,3
raises rates markets,614,614.0,,,3
rates markets tumble,614,614.0,,,3
fed raises rates,614,614.0,,,3
wall street upgrades,612,,,612.0,3
falls lowest decades,605,,,605.0,3
unemployment falls lowest,605,,,605.0,3
innovation analysts optimistic,602,,,602.0,3
initiative drives innovation,602,,,602.0,3
ai initiative drives,602,,,602.0,3
sales exceed expectations,602,,,602.0,3
drives innovation analysts,602,,,602.0,3
hits alltime high,593,,,593.0,3
sector leads market,593,,,593.0,3
leads market rally,593,,,593.0,3
tech sector leads,593,,,593.0,3
fears grow gdp,584,584.0,,,3
grow gdp contracts,584,584.0,,,3
recession fears grow,584,584.0,,,3
tech stocks slide,583,583.0,,,3
trade tensions escalate,583,583.0,,,3
escalate tech stocks,583,583.0,,,3
tensions escalate tech,583,583.0,,,3
wall street downgrades,575,575.0,,,3
patent quantum computing,171,,171.0,,3
new patent quantum,171,,171.0,,3
new patent blockchain,167,,167.0,,3
new patent machine,162,,162.0,,3
patent machine learning,162,,162.0,,3
new patent ai,156,,156.0,,3
environmental compliance amid,149,149.0,,,3
compliance amid market,149,149.0,,,3
patent autonomous systems,145,,145.0,,3
new patent autonomous,145,,145.0,,3
regulatory scrutiny supply,139,139.0,,,3
