word,up,down,flat,total,up_ratio,down_ratio,predictive_bias
18%,19,26,26,71,0.2676056338028169,0.36619718309859156,-0.09859154929577468
tesla,210,147,291,648,0.32407407407407407,0.22685185185185186,0.09722222222222221
investors,523,368,714,1605,0.32585669781931464,0.2292834890965732,0.09657320872274144
"8%,",33,23,48,104,0.3173076923076923,0.22115384615384615,0.09615384615384615
guidance,340,242,447,1029,0.3304178814382896,0.23517978620019436,0.09523809523809523
gdp,275,196,363,834,0.32973621103117506,0.23501199040767387,0.09472422062350119
"11%,",34,25,37,96,0.3541666666666667,0.2604166666666667,0.09375
walmart,208,147,302,657,0.3165905631659056,0.2237442922374429,0.0928462709284627
slowing,18,25,33,76,0.23684210526315788,0.32894736842105265,-0.09210526315789477
"4%,",32,23,44,99,0.32323232323232326,0.23232323232323232,0.09090909090909094
bullish,137,97,206,440,0.31136363636363634,0.22045454545454546,0.09090909090909088
sales,137,97,206,440,0.31136363636363634,0.22045454545454546,0.09090909090909088
exceed,137,97,206,440,0.31136363636363634,0.22045454545454546,0.09090909090909088
microsoft,210,153,270,633,0.33175355450236965,0.24170616113744076,0.0900473933649289
fed,465,334,659,1458,0.31893004115226337,0.22908093278463648,0.08984910836762688
markets,465,334,659,1458,0.31893004115226337,0.22908093278463648,0.08984910836762688
19%,27,20,31,78,0.34615384615384615,0.2564102564102564,0.08974358974358976
16%,22,16,29,67,0.3283582089552239,0.23880597014925373,0.08955223880597016
concerns,553,397,820,1770,0.31242937853107344,0.22429378531073446,0.08813559322033898
optimistic,139,102,179,420,0.33095238095238094,0.24285714285714285,0.08809523809523809
"innovation,",139,102,179,420,0.33095238095238094,0.24285714285714285,0.08809523809523809
drives,139,102,179,420,0.33095238095238094,0.24285714285714285,0.08809523809523809
initiative,139,102,179,420,0.33095238095238094,0.24285714285714285,0.08809523809523809
inflation,138,99,208,445,0.3101123595505618,0.22247191011235956,0.08764044943820226
raising,138,99,208,445,0.3101123595505618,0.22247191011235956,0.08764044943820226
surge,138,99,208,445,0.3101123595505618,0.22247191011235956,0.08764044943820226
oil,138,99,208,445,0.3101123595505618,0.22247191011235956,0.08764044943820226
prices,138,99,208,445,0.3101123595505618,0.22247191011235956,0.08764044943820226
"asia,",27,20,33,80,0.3375,0.25,0.08750000000000002
reassess,189,139,246,574,0.32926829268292684,0.2421602787456446,0.08710801393728224
continues,189,139,246,574,0.32926829268292684,0.2421602787456446,0.08710801393728224
rotation,189,139,246,574,0.32926829268292684,0.2421602787456446,0.08710801393728224
portfolios,189,139,246,574,0.32926829268292684,0.2421602787456446,0.08710801393728224
22%,14,20,35,69,0.2028985507246377,0.2898550724637681,-0.08695652173913043
systems,36,27,43,106,0.33962264150943394,0.25471698113207547,0.08490566037735847
autonomous,36,27,43,106,0.33962264150943394,0.25471698113207547,0.08490566037735847
confidence,142,103,215,460,0.30869565217391304,0.22391304347826088,0.08478260869565216
dividend,142,103,215,460,0.30869565217391304,0.22391304347826088,0.08478260869565216
growth,312,230,435,977,0.3193449334698055,0.23541453428863868,0.08393039918116685
"14%,",25,18,41,84,0.2976190476190476,0.21428571428571427,0.08333333333333334
"3%,",32,24,41,97,0.32989690721649484,0.24742268041237114,0.0824742268041237
raises,274,202,406,882,0.31065759637188206,0.2290249433106576,0.08163265306122447
latin,22,29,35,86,0.2558139534883721,0.3372093023255814,-0.08139534883720928
"america,",22,29,35,86,0.2558139534883721,0.3372093023255814,-0.08139534883720928
sparking,137,101,209,447,0.30648769574944074,0.22595078299776286,0.08053691275167787
rises,137,101,209,447,0.30648769574944074,0.22595078299776286,0.08053691275167787
signals,278,206,421,905,0.30718232044198895,0.2276243093922652,0.07955801104972376
"20%,",29,22,37,88,0.32954545454545453,0.25,0.07954545454545453
amd,21,16,26,63,0.3333333333333333,0.25396825396825395,0.07936507936507936
data,56,42,79,177,0.3163841807909605,0.23728813559322035,0.07909604519774013
privacy,56,42,79,177,0.3163841807909605,0.23728813559322035,0.07909604519774013
amazon,203,154,268,625,0.3248,0.2464,0.07839999999999997
rates,132,99,191,422,0.3127962085308057,0.23459715639810427,0.07819905213270142
"again,",132,99,191,422,0.3127962085308057,0.23459715639810427,0.07819905213270142
tumble,132,99,191,422,0.3127962085308057,0.23459715639810427,0.07819905213270142
unemployment,264,198,383,845,0.31242603550295855,0.23431952662721894,0.07810650887573961
"10%,",25,18,47,90,0.2777777777777778,0.2,0.07777777777777778
affecting,146,111,193,450,0.3244444444444444,0.24666666666666667,0.07777777777777775
layoffs,146,111,193,450,0.3244444444444444,0.24666666666666667,0.07777777777777775
employees,146,111,193,450,0.3244444444444444,0.24666666666666667,0.07777777777777775
competition,82,62,114,258,0.3178294573643411,0.24031007751937986,0.07751937984496124
economic,326,247,448,1021,0.31929480901077373,0.24191968658178256,0.07737512242899117
gpus,25,18,48,91,0.27472527472527475,0.1978021978021978,0.07692307692307696
"escalate,",128,98,164,390,0.3282051282051282,0.2512820512820513,0.07692307692307693
slide,128,98,164,390,0.3282051282051282,0.2512820512820513,0.07692307692307693
trade,128,98,164,390,0.3282051282051282,0.2512820512820513,0.07692307692307693
stocks,128,98,164,390,0.3282051282051282,0.2512820512820513,0.07692307692307693
tensions,128,98,164,390,0.3282051282051282,0.2512820512820513,0.07692307692307693
"9%,",28,20,56,104,0.2692307692307692,0.19230769230769232,0.0769230769230769
sector,318,243,423,984,0.3231707317073171,0.24695121951219512,0.07621951219512196
13%,25,19,35,79,0.31645569620253167,0.24050632911392406,0.07594936708860761
salesforce,20,15,31,66,0.30303030303030304,0.22727272727272727,0.07575757575757577
street,253,193,348,794,0.31863979848866497,0.24307304785894207,0.0755667506297229
wall,253,193,348,794,0.31863979848866497,0.24307304785894207,0.0755667506297229
decades,127,97,174,398,0.31909547738693467,0.24371859296482412,0.07537688442211055
lowest,127,97,174,398,0.31909547738693467,0.24371859296482412,0.07537688442211055
falls,127,97,174,398,0.31909547738693467,0.24371859296482412,0.07537688442211055
uncertainty,189,146,239,574,0.32926829268292684,0.25435540069686413,0.07491289198606271
maintains,189,146,239,574,0.32926829268292684,0.25435540069686413,0.07491289198606271
america,185,142,249,576,0.3211805555555556,0.2465277777777778,0.07465277777777779
potential,136,103,206,445,0.3056179775280899,0.23146067415730337,0.07415730337078652
"cuts,",136,103,206,445,0.3056179775280899,0.23146067415730337,0.07415730337078652
rate,136,103,206,445,0.3056179775280899,0.23146067415730337,0.07415730337078652
grow,123,94,176,393,0.31297709923664124,0.23918575063613232,0.07379134860050893
recession,123,94,176,393,0.31297709923664124,0.23918575063613232,0.07379134860050893
fears,123,94,176,393,0.31297709923664124,0.23918575063613232,0.07379134860050893
contracts,123,94,176,393,0.31297709923664124,0.23918575063613232,0.07379134860050893
"21%,",27,20,49,96,0.28125,0.20833333333333334,0.07291666666666666
"22%,",32,25,39,96,0.3333333333333333,0.2604166666666667,0.07291666666666663
coca-cola,201,154,296,651,0.3087557603686636,0.23655913978494625,0.07219662058371734
"24%,",30,23,44,97,0.30927835051546393,0.23711340206185566,0.07216494845360827
pressure,26,21,23,70,0.37142857142857144,0.3,0.07142857142857145
margin,26,21,23,70,0.37142857142857144,0.3,0.07142857142857145
analysts,296,228,434,958,0.3089770354906054,0.23799582463465555,0.07098121085594986
15%,13,17,28,58,0.22413793103448276,0.29310344827586204,-0.06896551724137928
tech,257,202,341,800,0.32125,0.2525,0.06874999999999998
14%,20,15,38,73,0.273972602739726,0.2054794520547945,0.0684931506849315
rally,265,207,383,855,0.30994152046783624,0.24210526315789474,0.0678362573099415
nvidia,204,160,290,654,0.3119266055045872,0.24464831804281345,0.06727828746177372
announces,268,210,392,870,0.3080459770114943,0.2413793103448276,0.06666666666666668
bank,197,157,265,619,0.3182552504038772,0.25363489499192243,0.06462035541195477
trading,185,145,299,629,0.29411764705882354,0.23052464228934816,0.06359300476947538
20%,22,17,42,81,0.2716049382716049,0.20987654320987653,0.06172839506172839
leads,129,104,177,410,0.3146341463414634,0.25365853658536586,0.06097560975609756
high,129,104,177,410,0.3146341463414634,0.25365853658536586,0.06097560975609756
hits,129,104,177,410,0.3146341463414634,0.25365853658536586,0.06097560975609756
all-time,129,104,177,410,0.3146341463414634,0.25365853658536586,0.06097560975609756
amid,319,259,451,1029,0.3100097181729835,0.25170068027210885,0.05830903790087466
model,23,18,45,86,0.26744186046511625,0.20930232558139536,0.058139534883720895
mixed,157,126,255,538,0.29182156133828996,0.2342007434944238,0.05762081784386616
next,157,126,255,538,0.29182156133828996,0.2342007434944238,0.05762081784386616
"week,",157,126,255,538,0.29182156133828996,0.2342007434944238,0.05762081784386616
report,157,126,255,538,0.29182156133828996,0.2342007434944238,0.05762081784386616
sachs,193,157,279,629,0.3068362480127186,0.24960254372019078,0.057233704292527804
strategic,170,138,254,562,0.302491103202847,0.24555160142348753,0.05693950177935947
priorities,170,138,254,562,0.302491103202847,0.24555160142348753,0.05693950177935947
discusses,170,138,254,562,0.302491103202847,0.24555160142348753,0.05693950177935947
ceo,170,138,254,562,0.302491103202847,0.24555160142348753,0.05693950177935947
conference,170,138,254,562,0.302491103202847,0.24555160142348753,0.05693950177935947
holiday,156,126,256,538,0.2899628252788104,0.2342007434944238,0.0557620817843866
ahead,156,126,256,538,0.2899628252788104,0.2342007434944238,0.0557620817843866
weekend,156,126,256,538,0.2899628252788104,0.2342007434944238,0.0557620817843866
light,156,126,256,538,0.2899628252788104,0.2342007434944238,0.0557620817843866
volume,156,126,256,538,0.2899628252788104,0.2342007434944238,0.0557620817843866
jpmorgan,172,139,291,602,0.2857142857142857,0.23089700996677742,0.054817275747508276
quarterly,122,99,199,420,0.2904761904761905,0.2357142857142857,0.05476190476190479
revenue,122,99,199,420,0.2904761904761905,0.2357142857142857,0.05476190476190479
record,122,99,199,420,0.2904761904761905,0.2357142857142857,0.05476190476190479
exxon,178,147,262,587,0.303236797274276,0.2504258943781942,0.05281090289608181
google,192,158,296,646,0.29721362229102166,0.24458204334365324,0.05263157894736842
investment,24,20,36,80,0.3,0.25,0.04999999999999999
banking,24,20,36,80,0.3,0.25,0.04999999999999999
stock,390,325,587,1302,0.2995391705069124,0.24961597542242703,0.049923195084485394
goldman,202,170,291,663,0.3046757164404223,0.2564102564102564,0.04826546003016591
meta,185,156,282,623,0.2969502407704655,0.2504012841091493,0.0465489566613162
"5%,",25,21,40,86,0.29069767441860467,0.2441860465116279,0.04651162790697677
supply,58,49,96,203,0.2857142857142857,0.2413793103448276,0.0443349753694581
chain,58,49,96,203,0.2857142857142857,0.2413793103448276,0.0443349753694581
apple,184,157,271,612,0.3006535947712418,0.2565359477124183,0.04411764705882354
headwinds,18,15,37,70,0.2571428571428571,0.21428571428571427,0.042857142857142844
market,494,423,748,1665,0.2966966966966967,0.25405405405405407,0.042642642642642614
downgrades,119,103,164,386,0.3082901554404145,0.266839378238342,0.04145077720207252
citing,119,103,164,386,0.3082901554404145,0.266839378238342,0.04145077720207252
21%,19,22,33,74,0.25675675675675674,0.2972972972972973,-0.04054054054054057
"13%,",29,25,52,106,0.27358490566037735,0.2358490566037736,0.037735849056603765
mount,130,113,212,455,0.2857142857142857,0.24835164835164836,0.03736263736263734
volatility,290,253,456,999,0.2902902902902903,0.25325325325325326,0.037037037037037035
experts,160,140,244,544,0.29411764705882354,0.25735294117647056,0.03676470588235298
expected,160,140,244,544,0.29411764705882354,0.25735294117647056,0.03676470588235298
say,160,140,244,544,0.29411764705882354,0.25735294117647056,0.03676470588235298
"continue,",160,140,244,544,0.29411764705882354,0.25735294117647056,0.03676470588235298
11%,19,22,43,84,0.2261904761904762,0.2619047619047619,-0.035714285714285726
jumps,119,105,169,393,0.30279898218829515,0.26717557251908397,0.03562340966921118
expands,119,105,169,393,0.30279898218829515,0.26717557251908397,0.03562340966921118
"15%,",26,23,40,89,0.29213483146067415,0.25842696629213485,0.0337078651685393
azure,31,28,36,95,0.3263157894736842,0.29473684210526313,0.031578947368421095
"estimates,",141,126,218,485,0.2907216494845361,0.2597938144329897,0.030927835051546393
misses,141,126,218,485,0.2907216494845361,0.2597938144329897,0.030927835051546393
full-year,141,126,218,485,0.2907216494845361,0.2597938144329897,0.030927835051546393
cuts,141,126,218,485,0.2907216494845361,0.2597938144329897,0.030927835051546393
outlook,141,126,218,485,0.2907216494845361,0.2597938144329897,0.030927835051546393
"19%,",26,29,43,98,0.2653061224489796,0.29591836734693877,-0.030612244897959162
worth,120,108,183,411,0.291970802919708,0.26277372262773724,0.029197080291970767
landmark,120,108,183,411,0.291970802919708,0.26277372262773724,0.029197080291970767
partners,120,108,183,411,0.291970802919708,0.26277372262773724,0.029197080291970767
deal,120,108,183,411,0.291970802919708,0.26277372262773724,0.029197080291970767
earnings,418,376,683,1477,0.2830060934326337,0.25457007447528773,0.028436018957345988
10%,25,23,27,75,0.3333333333333333,0.30666666666666664,0.026666666666666672
"east,",21,19,39,79,0.26582278481012656,0.24050632911392406,0.0253164556962025
middle,21,19,39,79,0.26582278481012656,0.24050632911392406,0.0253164556962025
ibm,24,22,37,83,0.2891566265060241,0.26506024096385544,0.02409638554216864
saturation,25,23,36,84,0.2976190476190476,0.27380952380952384,0.02380952380952378
adobe,20,19,22,61,0.32786885245901637,0.3114754098360656,0.016393442622950782
12%,20,19,29,68,0.29411764705882354,0.27941176470588236,0.01470588235294118
intel,17,18,35,70,0.24285714285714285,0.2571428571428571,-0.014285714285714263
"europe,",22,21,36,79,0.27848101265822783,0.26582278481012656,0.012658227848101278
labor,51,53,75,179,0.2849162011173184,0.29608938547486036,-0.011173184357541943
practices,51,53,75,179,0.2849162011173184,0.29608938547486036,-0.011173184357541943
strong,120,124,210,454,0.2643171806167401,0.27312775330396477,-0.008810572687224683
beat,120,124,210,454,0.2643171806167401,0.27312775330396477,-0.008810572687224683
surges,120,124,210,454,0.2643171806167401,0.27312775330396477,-0.008810572687224683
machine,31,31,60,122,0.2540983606557377,0.2540983606557377,0.0
learning,31,31,60,122,0.2540983606557377,0.2540983606557377,0.0
"16%,",31,31,44,106,0.29245283018867924,0.29245283018867924,0.0
oracle,18,18,32,68,0.2647058823529412,0.2647058823529412,0.0
